users,text,quote,topic,times
 СуперГёрл," Вы так легко говорите. Поменять мужа. Если любовь, то как же тут поменяешь? Мне вот кажется, что я без своего даже дышать не смогу. Он для меня все!!!"," поменять мужа. Мой был против, но потом понял насколько это для меня важно, стал ценить еще больше.", Job, 15 апр 2016
 Dy23," Если муж для Вас все, то при чем здесь работа? Только надолго ли это: все? У меня тоже муж был все, а когда я перестала развиваться, поняла, что он не прав. Сейчас нашли компромисс и оба довольны. Я при деле, а мужа хвалю за то, что какой он у меня молодец, поддерживает меня во всем!",, Job, 16 апр 2016
 Анетт," Продолжать работать и объяснить мужу, что для вас это важно. Если не понимает, что для вас важна работа, а так же продвижение, то такие отношения обречены.Увы, но это так. Жить и не делать, то что хочешь - это чудовищно.",, Job, 16 апр 2016
 Deez," А ""дышать без него не могу"" это уже зависимость а не любовь."," Вы так легко говорите. Поменять мужа. Если любовь, то как же тут поменяешь? Мне вот кажется, что я без своего даже дышать не смогу. Он для меня все!!!", Job, 18 апр 2016
 Лиля," А любовь - это разве не зависимость? Как можно еще физиологически описать чувство любви? Я не думаю, что подобные эпитеты не подходят для определения любви."," почему легко? с чего вы взяли что развод с первым мужем мне дался легко?А ""дышать без него не могу"" это уже зависимость а не любовь.", Job, 19 апр 2016
 Deez," нет, любовь это не зависимость это состояние. Когда человек зависим от другого это уже голову надо лечить а не любовью прикидываться."," А любовь - это разве не зависимость? Как можно еще физиологически описать чувство любви? Я не думаю, что подобные эпитеты не подходят для определения любви.", Job, 25 апр 2016
 Lizz," Идите и смело работайте. 21 век на улице, какие домохозяйки. Хочете пусть наймет горничную которая будет следить за домом.",, Job, 26 апр 2016
 liohk, Странно,, Job, 26 апр 2016
 Nik," Я тоже считаю, если у женщины есть желание, то нужно идти и работать, делать карьеру, реализовывать себя не только как жена и мама в этой жизни. И если мужчина любит, он не будет эгоистом, а наоборот поддержит свою любимую женщину.",, Job, 24 июл 2016
bik,"Только для тех у кого есть свой блог или сайт.Нужно написать обзор сайта и разместить на своей площадке. Цена договорная и зависит от таких факторов как тематика вашего ресурса, количество визитов, стиль отзыва, наличие сопровождающих фото и т.д.Обзоры нужны постоянно, тематика разная. Кто заинтересован пишите в ПМ или на электронный адрес soy.emigo  gmil.com",,Job,12 июн 2016
МилаЯ,"Несколько лет работаю в одной фирме и никак не могу добиться повышения, хотя текучка у нас большая и вышестоящие должности бывает освобождаются. Как можно добиться повышения по работе?",,Job,4 фев 2016
 I-geed," Нужно не сидеть в сторонке, когда появляются какие-то сложные поручения, нужно уметь брать инициативу в свои руки и ответственность тоже. Быть начальником не так просто.",, Job, 4 фев 2016
 Дарьяна," Если идти по головам, то можно быстрее добиться повышения.",, Job, 7 фев 2016
 Мышка," Нужно делать всё, чтобы вас заметили. Постоянно проявлять инициативу, может быть даже вносить свои предложения по улучшению работы компании, старательно выполнять свои обязанности, и при этом показывать, что вы знаете больше. Почаще контактировать с начальством.",, Job, 4 июн 2016
Гость Ольга,"Здравствуйте, требуется организатор совместной закупки.Парфюм. Любой город. Доход минимум 5 с закупки+бонус за закупку флакон 1 мл из ассортимента. обращайтесь за подробностями. добавляйтесь vk.com/olg_moykov",,Job,4 фев 2016
СимоNN,"Как вы считаете, уместно ли получить работу через постель? При чем, в конкретном случае, будет совмещено приятное с полезным. Мужчина-красавиц, руководитель престижной компании приглашает на свидание и как бы не на роком сообщил, что может взять меня на работу. Вот думаю, а может согласиться? Работа, реально, хорошая",,Job,1 фев 2016
 АнгеL," Так если мужчина вам нравится, почему бы просто с ним не встретится? А если, после этого, у вас еще и хорошая работа появится, так вообще супер. И потом, он же не сказал, что даст работу, только после секса. Может, он просто хочет вам помочь, но при этом, вы ему нравитесь и встретится он тоже не прочь..",, Job, 1 фев 2016
 Si-Si, Ангел верно говорит.,, Job, 2 фев 2016
 Мира, Не мой вариант. Не факт что мужик потом не бросит.,, Job, 3 фев 2016
Гость Roz,"Устраиваюсь на работу в ВЕТЕРАН в Мелитополе,но прочитав отзывы,как-то страшновато туда идти.Зарплата я так понимаю изначально расчитана на то, чтобы обвесить и обмануть.В наше время это не актуально.Отзовитесь кто работал в этой сети магазинов",,Job,5 янв 2016
 Гость Инна," вы лучше поищите не общетематический сайт, а форум города Мелитополь... там вы быстрее найдете ответ на вопрос",, Job, 5 янв 2016
Маленькая,"Девочки, у вас есть в коллективе такие люди, которые, как говорится, по трупам пойдут, лишь бы получить желаемую должность? У меня на работе таких несколько. Они спят и видят как бы кто-то накосячил, а они бы об этом доложили начальству. Терпеть таких не могу.",,Job,24 июл 2015
 Ливадина," Я думаю, что в каждой более-менее крупной организации есть такие противные индивидуумы. Я просто стараюсь от таких держаться подальше. Жаль, что руководство обычно таких и любит. Стукачей и кляузников.",, Job, 25 июл 2015
 Glo4k," Я от таких тоже стараюсь держаться как можно дальше, хорошо что у нас в коллективе таких сейчас нет. Мне вообще я считаю очень повезло, у нас подобрался очень дружный коллектив, даже представить себе не могу что кто-то начнет пакостить коллегам.",, Job, 25 июл 2015
 Настасья," Мне кажется такие люди есть в каждом коллективе. Их никто не любит, но начальство им благоволит, поэтому они и не вылетают с работы за какие-то свои косяки. А ведь есть еще те, кто сдает коллег по тихому, так что кроме начальника об этом никто не знает.",, Job, 25 июл 2015
 Елена Бондаренко, Есть такие),, Job, 30 дек 2015
kiy,"Если бы женщинам не пришлось идти на работу, чтобы зарабатывать деньги, то что бы вы выбрали - карьерную лестницу или же домашний уют? Лично я хочу быть дома, заниматься детьми и готовить кушать для мужа. А вы?",,Job,24 июл 2015
 Di," Я бы так не смогла и не стала бы делать. Сегодня муж есть, обеспечивает семью, а завтра кто знает. Пусть небольшая работа, на пару часов в день но нужна. Для того что бы стаж шел и квалификацию не терять. Да и что бы элементарно было куда наряды выгулять ))",, Job, 24 июл 2015
 Ливадина," Я бы выбрала лет до 3 карьеру, а потом можно уже и с детьми было бы посидеть. Но судьба распорядилась иначе, я забеременела в 22 года и даже не думала об аборте. Соответственно планы изменились).",, Job, 25 июл 2015
 Glo4k," Вполне можно совмещать и карьеры и воспитание детей. Я знаю множество женщин с 2-3 детьми, отличной карьерой и они к тому же еще успевают и общественной деятельностью заниматься. Так что главное желание и стремление, а остальное приложится.",, Job, 25 июл 2015
 Настасья," Я бы конечно выбрала детей, какой смысл корячится на работе, когда есть деньги и их не нужно зарабатывать. Для себя я конечно занялась бы каким-нибудь увлекательным делом типа садоводства, чтобы дома от скуки не помереть.",, Job, 25 июл 2015
 Елена Бондаренко, Естественно семья),, Job, 30 дек 2015
