users,text,quote,topic,times
 рафа," Подождите, по-моему я прослушала тот момент, когда вы писали, где вы учились. На какие курсы получается записывались? У кого обучались? А есть такие курсы, где можно все пройти сжато, но при этом, чтобы в дальнейшем тоже можно было бы работать. Естественно, потом я уже буду тоже развиваться все такое, на мастер-классы ходить",, Job, 13 июл 2019
 Чунга," Да, это вот интенсивные курсы, когда за 3 занятия по 4-4.5 часа проходишь весь курс. Не скажу, что материал совсем какой-то обрезанный, но это самый сжатый курс из всех. Так же есть экспресс курс, его вы проходите за 6 занятий, общее количество 72 часов. Мне кажется, для новичка целесообразней будет выбрать второй вариант) Если что на igb.u можно будет записаться и посмотреть как обстоит дела с курсамиИзменено 4 окт 219 пользователем Чунга",, Job, 4 окт 2019ttttttt(изменено)ttttttttttt
 рафа," Здравствуйте, отлично, спасибо большое! На сайте нашла очень полезную для начинающего мастера информацию. Все виды курсов расписаны прям по урокам. Нравится, что все материалы используют качественные и аппаратура у Инги Бабицкой самых качественных производителей. Уже записалась на экспресс-курс, надеюсь мне понравится и много чего для себя на этих курсах почерпну",, Job, 28 окт 2019
 Нобель," Какие курсы посоветуете уже ""неновичку""? Объясню так, в общем, я уже проходила когда-то курсы перманентного макияжа и даже работала месяца два, но потом забеременела, пришлось бросить работу и заниматься ребенком. Сейчас снова хочу начать работать в этой сфере, знания остались и навыки, но все-таки перед тем, как выйти на работу, чтобы никого не изуродовать мне все-таки нужно для начала еще раз пройти, хотя бы поверхностное обучение, желательно с практическими занятиями",, Job, 13 дек 2019
 Чунга," Да, есть экспресс и интенсив курсы в школе Инги Бабицкой. Для вашей ситуации, прям как раз, самое то, было бы. Они от базовых расширенных отличаются сжатостью. Будет практика и теория, поэтому успеете все вспомнить и нагнать.",, Job, 2 фев 2020
 Нобель," Ну да, действительно, а получается, практика тоже будет на этих курсах? Не подскажите, где именно находится студия Инги Бабицкой и как можно было бы записаться к ним на обучение?",, Job, 29 мар 2020
 Чунга," Да, конечно, все техники, которые будете проходить на курсах, будете закреплять с помощью практических занятий, недостатка в практических занятиях на курсах не будет. Студия находится в районе Таганской, на Николоямской 38/1, удобное расположение, мне было комфортно ездить именно туда. На hps://igb.u/ можете связаться и записаться."," Ну да, действительно, а получается, практика тоже будет на этих курсах? Не подскажите, где именно находится студия Инги Бабицкой и как можно было бы записаться к ним на обучение?", Job, 16 июн 2020
 Нобель," Большое спасибо за рекомендацию студии Инги Бабицкой. У нее действительно очень эффективное, разнообразное и насыщенное обучение. Очень рада, что именно здесь прохожу обучение.",, Job, 19 дек 2020
 Rmue," В школе Инги Бабицкой проходила курс «Маэстро бровей» . Хотела именно по бровкам, т.к. это направление больше всего нравиться. Да и все подруги в основном только брови делают. Знаний там дают очень много, практики тоже было достаточно. После курса в школе смогла купить оборудование со скидкой. Это тоже большой плюс.",, Job, 19 сен 2021
 Fey," Девочки, а знаете, что еще пользуется популярностью? Удаление татуажа. Вы не поверите сколько криворуких мастеров и какой ужас они творят. Я уже столько всего перевидала меньше, чем за год работы мастером. Удаление у меня сейчас одна из самых восстребованных процедур. Удаляю татуаж ремувером, курсы кстати проходила тоже у Инги Бабицкой, вот эти hps://igb.u/se-idividulogo-obucheiy/specil-semis/obuchyushhij-semi-udleie-uzh-mikoblejdig-oo-emuveom-iqpigmeemove-ppyj-i-uchoj-meody-idividulyj-fom/ После прохождения семинара выдали дваСертификата международного образца. Если честно, давным-давно уже окупили себя.",, Job, 11 окт 2021
 Elbe," Скажите, как долго вы проходили обучение? У меня просто ваша ссылка не открылась, поэтому посмотреть информацию я не смогла. И что потом по поводу работы, реально с сертификатом этой студии потом найти работу? Очень хочу поменять профессию, связать себя с миром красоты, но, не уверена, что у меня получится."," Девочки, а знаете, что еще пользуется популярностью? Удаление татуажа. Вы не поверите сколько криворуких мастеров и какой ужас они творят. Я уже столько всего перевидала меньше, чем за год работы мастером. Удаление у меня сейчас одна из самых восстребованных процедур. Удаляю татуаж ремувером, курсы кстати проходила тоже у Инги Бабицкой, вот эти hps://igb.u/se-idividulogo-obucheiy/specil-semis/obuchyushhij-semi-udleie-uzh-mikoblejdig-oo-emuveom-iqpigmeemove-ppyj-i-uchoj-meody-idividulyj-fom/ После прохождения семинара выдали дваСертификата международного образца. Если честно, давным-давно уже окупили себя.", Job, 18 ноя 2021
 Сапфировая," Курс зависит от того, что вы выберете, плюс, индивидуальные занятия, или же групповые. По поводу того, получится у вас или нет, вам скажут в процессе обучения. У Инги такой принцип, если нет у человека таланта к этому, то она прямо так и говорит, и дальше обучение можно не продолжать, при этом потраченные средства вам вернут. Но, у Бабицкой такая школа, что всему научат, это просто деревянные руки нужно уметь, чтоб не справиться). Там и практика есть, так что при выходе, вы мастер с небольшим опытом и сертификатом, можно сразу начинать работать."," Скажите, как долго вы проходили обучение? У меня просто ваша ссылка не открылась, поэтому посмотреть информацию я не смогла. И что потом по поводу работы, реально с сертификатом этой студии потом найти работу? Очень хочу поменять профессию, связать себя с миром красоты, но, не уверена, что у меня получится.", Job, 16 дек 2021
 Olggei," Тоже выбирала студию через интернет, тут вариантов много. Да и отзывов, вот это главное при выборе. Когда прочитала, что девочкам нравится в студии Инги Бабицкой, решила записаться. Я ничего не знала, поэтому с нуля пришлось учиться. Объясняют хорошо, почти все с первого раза получалось. Тоже новичок получается, зимой проходила обучение. Понимаю почему вам нравится, тут приятная атмосфера и обучение проходит грамотно.",, Job, 6 май 2022
blodi,"Девчули, всем привет. Кто как зарабатывает в декрете? Я профукала время когда малышка была лялей, спала и лежала в кроватке, теперь она носится и постоянно просит моего внимания. В ущерб своему сну и иногда урвав время днем, когда она спит, пытаюсь что то наскрести в интернете. Писала статьи на Адвего, статьи тяжело даются мне, практически насилую себя. Сестра работала дома оператором колл центра какого то банка, деньги выплатили, но сколько звонков было!!! Ей пришлось отдать малыша в садик, он начал болеть, забрала домой и уже не работает. Короче, делитесь кому не жалко)))",,Job,19 сен 2017
 София17, Привет) мне кажется что единственный возможнвй заработок это какие нибудь закупки),, Job, 19 сен 2017
 Ki, закупки - фу. ими каждая первая занимается. проще уж на написании текстиков выехать.,, Job, 19 сен 2017
 Augusi, а что вы умеете делать? что нравится делать? муж не содержит вас в декрете?,, Job, 20 сен 2017
 Гость Линда," Способов заработать в инете туева хуча, инвестиции в криптовалюту, различный фриланс , адвего далеко не единственная биржа, есть сайт posmic для удаленной работы как раз ваша тема, но и мошенников много. Ищите , никто вам тут не расскажет и не выложит как срубить бабло по простому",, Job, 20 сен 2017
 Гость Дианка, ," Способов заработать в инете туева хуча, инвестиции в криптовалюту, различный фриланс , адвего далеко не единственная биржа, есть сайт posmic для удаленной работы как раз ваша тема, но и мошенников много. Ищите , никто вам тут не расскажет и не выложит как срубить бабло по простому", Job, 20 сен 2017
 Елена87," Можно создать свой сайт или блог, раскрутить его и на нем зарабатывать, но это требует времени.",, Job, 20 сен 2017
 blodi," Ой нет, спасибо. Что такое криптовалютыя знаю. Брат этим занимается, взял бабки в кредит , причем не в обычном банке типа сбера, а в каком то полумошенническомпод огромный процент, купил эти валюты , пытался торговать, валюты падать начали, он в итоге в минусе как я поняла. Мне с моим гуманитарным мозгом лучше не выпендриваться в таких рискованных проектах. Буду фрилансить ....Совершенствоваться в копирайтинге или еще в чем нб", а что вы умеете делать? что нравится делать? муж не содержит вас в декрете?, Job, 20 сен 2017
 ssh_kyz," Софий а можешь поподробнее. Это всмысле что-то покупать, а потом в соц.сетях продавать. Или как? Я сама маюсь, уже прокручиваю все возможные варианты.", Привет) мне кажется что единственный возможнвй заработок это какие нибудь закупки), Job, 6 окт 2017
 DeisovAled, А в закупках знаете штрафы какие огромные? Закон 44 досконально надо знать,, Job, 14 ноя 2018
 Heicuss, Отчасти согласнас этим,, Job, 24 янв 2019
 KmillFedoov, Я в декрете зарабатываю здесь:hp://www.wmmil.u/ide.php?cf=eg-ew&ef=goeev83hps://seospi.e/?ef=1438462hps://pofice.com/?=goeev85hps://socpublic.com/?i=66599&slide=1hp://www.web-ip.u/ide.php?eflog=goeev88hps://wmfs.com/?=155487hps://dvego.com/NVGWVZ63hhps://dvego.com/4Mckq9A4uHhps://vksefig.u/?ef=548899929hps://viso.bz/?=gofi342hps://www.eobu.com/?=Gofi342hps://kwok.u/ef/613247Изменено 15 окт 22 пользователем KmillFedoov,, Job, 15 окт 2020ttttttt(изменено)ttttttttttt
 Zik," Подниму тему. Вот и моя пора пришла задуматься о заработке в декрете)) Дочка подросла, но до садика еще далеко, а финансово стало тяжеловато. Рассматриваю удаленную работу, может у кого-то есть опыт, поделитесь.",, Job, 22 окт 2021
 Soe," В рекомендациях не хотите попробовать себя? Очень интересная работа, не требует никаких вложений, а доход при правильном подходе стабильный. Если постараться, то и немаленький.",, Job, 26 окт 2021
 Zik, А вы с чем работаете? Косметика наверное? Я в этом не очень понимаю.,, Job, 27 окт 2021
 Soe," Я работаю с компанией Sibei Welless. У них не только косметика, ассортимент огромный, можно на сайте посмотреть. Там и витамины, и разная продукция для здоровья, все натуральное, из растительных компонентов. Спрос на нее очень хороший, да и компания на месте не стоит, развивается. У них есть онлайн бизнес-школа, там все доступно объясняют, есть консультативная помощь. Вы зарегистрируйтесь, попробуйте. У меня через месяц доход пошел вверх, сейчас неплохой вклад в семейный бюджет вношу.",, Job, 30 окт 2021
 Zik," Я посмотрела их сайт, поняла, это бывшее Сибирское здоровье. Так это совсем давнишняя компания, солидная. Я не знала, что они и бизнес развивают. Спасибо за наводку.",, Job, 30 окт 2021
Иринка Матвеева,"Давно хочу открыть какое-то свое дело, надоело работать на дядю, но честно говоря не представляю с чего начинать. Может у кого-то есть советы по этому поводу?",,Job,7 фев 2016
 I-geed," Наверно надо продумать проект от и до. Посчитать, сможет ли он приносить вам прибыль, как быстро окупится, какие затраты будут в первое время, когда дело будет только открываться.",, Job, 7 фев 2016
 Polly," Главное понять чем вы хотите заниматься, затем определиться с бюджетом. У меня на это почти год, а именно то, что я понимала, что на дядю работать не хочу, а придумать чем заниматься я не могла. Теперь вот придумала собрала деньги и буду начинать развивать.",, Job, 5 май 2016
 Лаванда," Собственный бизнес начинается с бизнес - плана и с уверенности, что у вас обязательно все получится. Ну и в идеале, с собственного капитала). Чтобы не занимать у банков!",, Job, 5 май 2016
