users,topic,times,quote,text
Грант,Books&Literature, 31 мая 2012 г. 17:09   [нажмите здесь чтобы увидеть текст поста],,"Вопрос к знатокам.Где-то у классиков русской литературы.Герой сталкивается с неким весьма, так сказать, печальным персонажем.... Не то это солдат-заморыш, не то убогая забитая девка. И вот в голове героя возникают такие мысли, что (неточная цитата) вот, мол, над этим дитём в пелёнках мать пролила немало слёз, баюкала его, баловала, растила, сколько труда и надежд вложено, что и это дитя когда-то было чьей-то радостью и надеждой, а теперь — вот... Что-то там еще насчёт бессонных ночей.Сам понимаю, весьма смутно, поэтому простите за путаное описание. Вся надежда, что кто-то недавно это перечитывал.Ориентировочно это Достоевский или Гаршин, но может быть и кто-то другой (не Помяловский и не Куприн точно)."
Sablezubyi,Books&Literature, 31 мая 2012 г. 22:13   [нажмите здесь чтобы увидеть текст поста],"Вопрос к знатокам.Где-то у классиков русской литературы.Герой сталкивается с неким весьма, так сказать, печальным персонажем.... Не то это солдат-заморыш, не то убогая забитая девка. И вот в голове героя возникают такие мысли, что (неточная цитата) вот, мол, над этим дитём в пелёнках мать пролила немало слёз, баюкала его, баловала, растила, сколько труда и надежд вложено, что и это дитя когда-то было чьей-то радостью и надеждой, а теперь — вот... Что-то там еще насчёт бессонных ночей.Сам понимаю, весьма смутно, поэтому простите за путаное описание. Вся надежда, что кто-то недавно это перечитывал.Ориентировочно это Достоевский или Гаршин, но может быть и кто-то другой (не Помяловский и не Куприн точно).","цитата ГрантВопрос к знатокам.Где-то у классиков русской литературы.Герой сталкивается с неким весьма, так сказать, печальным персонажем.... Не то это солдат-заморыш, не то убогая забитая девка. И вот в голове героя возникают такие мысли, что (неточная цитата) вот, мол, над этим дитём в пелёнках мать пролила немало слёз, баюкала его, баловала, растила, сколько труда и надежд вложено, что и это дитя когда-то было чьей-то радостью и надеждой, а теперь — вот... Что-то там еще насчёт бессонных ночей.Сам понимаю, весьма смутно, поэтому простите за путаное описание. Вся надежда, что кто-то недавно это перечитывал.Ориентировочно это Достоевский или Гаршин, но может быть и кто-то другой (не Помяловский и не Куприн точно).отчасти похоже на Неточку Незванову ДОстоевского"
Veronika,Books&Literature, 3 июня 2012 г. 01:56   [нажмите здесь чтобы увидеть текст поста]," Никак не могу вспомнить ни название, ни автора повести, прочитанной в детстве: герой(героиня) подлечил зуб, а ему в пломбу кто-то из спецслужб вмонтировал приемник, с тех пор он начал слышать голоса, стал замечать часто какой-то фургон у своего дома.","цитата ЕНК Никак не могу вспомнить ни название, ни автора повести, прочитанной в детстве: герой(героиня) подлечил зуб, а ему в пломбу кто-то из спецслужб вмонтировал приемник, с тех пор он начал слышать голоса, стал замечать часто какой-то фургон у своего дома.цитата ПимычЕНКВозможно, Глеб Голубев?   http://fantlab.ru/work167177Однако!!! Так вот откуда Пелевин позаимствовал  технологию для рассказа Операция «Burning Bush» http://fantlab.ru/work234450 . Начитанный человек Виктор Олегович."
Пимыч,Books&Literature, 3 июня 2012 г. 12:34   [нажмите здесь чтобы увидеть текст поста],Однако!!! Так вот откуда Пелевин позаимствовал  технологию для рассказа Операция «Burning Bush»  http://fantlab.ru/work234450 . Начитанный человек Виктор Олегович.,цитата VeronikaОднако!!! Так вот откуда Пелевин позаимствовал  технологию для рассказа Операция «Burning Bush»  http://fantlab.ru/work234450 . Начитанный человек Виктор Олегович.Все новое — хорошо забытое старое.
SAG,Books&Literature, 14 июня 2012 г. 08:24   [нажмите здесь чтобы увидеть текст поста],," Если африканские истории, возможно сейчас и не вспомню но писал писатель- этнограф Р.Итс http://fantlab.ru/work101697."
Эльнурдара,Books&Literature, 14 июня 2012 г. 23:47   [нажмите здесь чтобы увидеть текст поста],,"SAG Точно, это та самая новелла ""Амазонка из Дагомеи""! Спасибо большое, и наконец-то я дочитаю эту историю "
tolkotak,Books&Literature, 15 июня 2012 г. 14:32   [нажмите здесь чтобы увидеть текст поста],,"Помогите вспомнить книгу.Книга о жизни некоего англичанина или американца. События происходят где-то в первой половине прошлого века. ГГ имеет весьма пассивную жизненную позицию, кажется, безработный. Следующие факты могут быть неточными: у ГГ есть подруга — мелкая актриса театра, возможно по имени Томи, которая любит ГГ, но которую он в общем-то не очень сильно любит. У ГГ есть некрасивая сестра, которая планирует выйти замуж, но ГГ против этого брака. У ГГ есть пожилой друг-гей, с которым он иногда играл в шахматы (позже этот друг умирает). Есть, конечно, и другие персонажи, но я их не помню...Сюжет также не помню, но он весьма обыденный и правдоподобный, чем и привлекает."
Эльнурдара,Books&Literature, 15 июня 2012 г. 22:24   [нажмите здесь чтобы увидеть текст поста],,"Возможно, Айрис Мэрдок, ""Дитя слов"""
tolkotak,Books&Literature, 15 июня 2012 г. 23:55   [нажмите здесь чтобы увидеть текст поста],,"Эльнурдара , не ""возможно"", а ""именно"" ... Это действительно ""Дитя слов"", и я Вам очень признателен за подсказку!"
i249,Books&Literature, 19 июня 2012 г. 15:30   [нажмите здесь чтобы увидеть текст поста],,"Всем любителям детективного жанра.Друзья помогите вспомнить автора отечественного рассказа (повести) и само название, которая печатался в одном из малых журналов (возможно в ""Человек и закон""?). Фабула рассказа в том как однажды женщина проживающая в многоквартирном доме, слышит как к соседу ломится человек и просит при этом отдать Катерину. Спустя какое-то времы соседа находят мертвым.Начинается расследование и одной из задач следователей было выяснение кто же такая Катерина. Как потом оказалось, под именем Катерина скрывалась не женщина, а очень редкая монета выпущенная во время правления Екатерины II. Как помнится очень приличный был детектив."
Aryan,Books&Literature, 27 июня 2012 г. 14:19   [нажмите здесь чтобы увидеть текст поста],,Tygdym Огромное спасибо!    Именно эта книга.
Aryan,Books&Literature, 27 июня 2012 г. 14:20   [нажмите здесь чтобы увидеть текст поста],,"Эльнурдара нет, это точно был Ранний восход, но все равно спасибо. А Белку стоит посмотреть?"
Tygdym,Books&Literature, 27 июня 2012 г. 15:17   [нажмите здесь чтобы увидеть текст поста],"Люди!Помогите вспомнить название романа (или повести) Веры Пановой (советская писательница).Помню, там у главного героя была жена, которая раньше была его секретаршей.Эта девушка от природы была некрасивой внешне (и таких же моральных качеств), но она часами наводила перед зеркалом красоту и удачно пускала всем ""пыль в глаза"".Помню, на каком-то празднике, она как всегда блистала, а один молоденький парень смотрел на всё это и поражался:-""Боже, неужели никто не видит какая она страшная?!"" (имелось ввиду страшная во всех смыслах).Какое название у этого произведения?Главный герой по ходу романа всё пытается решить каки-то моральные проблемы...","цитата Ольга_ПитерЛюди!Помогите вспомнить название романа (или повести) Веры Пановой (советская писательница).Помню, там у главного героя была жена, которая раньше была его секретаршей.Эта девушка от природы была некрасивой внешне (и таких же моральных качеств), но она часами наводила перед зеркалом красоту и удачно пускала всем ""пыль в глаза"".Помню, на каком-то празднике, она как всегда блистала, а один молоденький парень смотрел на всё это и поражался:-""Боже, неужели никто не видит какая она страшная?!"" (имелось ввиду страшная во всех смыслах).Какое название у этого произведения?Главный герой по ходу романа всё пытается решить каки-то моральные проблемы...Очень похоже на роман ""Времена года"" (гл. герой — Борташевич, а девушку зовут Надя)."
Эльнурдара,Books&Literature, 27 июня 2012 г. 16:59   [нажмите здесь чтобы увидеть текст поста],,"Aryan По моему, стоит, если вас не пугает допущение, что мир захватили животные, и довольно таки необычный стиль автора. Язык очень богатый и яркий, атмосфера погружает в себя. Прочитала не отрываясь. Но я могу быть пристрастна) Рассказывается даже не об одном, а о четырёх мальчиках — студентах художественного училища, являющихся друзьями."
Aryan,Books&Literature, 27 июня 2012 г. 17:04   [нажмите здесь чтобы увидеть текст поста],"если вас не пугает допущение, что мир захватили животные","цитата Эльнурдараесли вас не пугает допущение, что мир захватили животные  вот уж точно не пугает    Интересно, у Шери Теппер есть похожая тема. Надо будет сравнить — спасибо за наводку "
Эльнурдара,Books&Literature, 27 июня 2012 г. 17:28   [нажмите здесь чтобы увидеть текст поста],,"Aryan Не за что  Подскажите, что за тема у Теппер, и есть ли её романы на русском и онлайн, а то я не нашла."
